"","oid","typ","cid","tna","rnk","tid","mna","mra","mid","oei","oli","eag","lag","rid","gnl","gnn","odl","odn","cll","cln","phl","phn","idt","ids","rss","eag.1","lag.1","cxi","ein","lin","fml","fmn","rst","eid","idf"
"1:1","130176","occ","10750","Taeniopteris T. newberriana cf.","3","56180","Taeniopteris","5","56180","Carboniferous","Permian","358.9","252.17","3995;3995","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","T. newberriana","cf.",358.9,252.17,"3","18","17",NA,NA,NA,NA,NA
"1:2","130177","occ","10750","Taeniopteris sp. 1","5","56180","Taeniopteris","5","56180","Carboniferous","Permian","358.9","252.17","3995;3995","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","sp. 1",NA,358.9,252.17,"3","18","17",NA,NA,NA,NA,NA
"1:3","132382","occ","11000","Taeniopteris sp.","5","56180","Taeniopteris","5","56180","Sakmarian","Kungurian","295.5","272.3","4064;4064","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","sp.",NA,295.5,272.3,"773","150","148",NA,NA,NA,NA,NA
"1:4","133218","occ","11143","Cycadales indet.","13","55349","Cycadales","13","55349","Zechstein",NA,"259","252.3","4096;4096",NA,NA,"Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Cycadales","indet.",NA,259,252.3,"771","716","715",NA,NA,NA,NA,NA
"1:5","133225","occ","11144","Taeniopteris sp.","5","56180","Taeniopteris","5","56180","Artinskian","Ufimian","290.1","272.5","4097;4097","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","sp.",NA,290.1,272.5,"773","149","148",NA,NA,NA,NA,NA
"1:6","133230","occ","11145","Phasmatocycas sp.","5","417982","Phasmatocycas","5","417982","Sakmarian","Kungurian","295.5","272.3","4100;4100","Phasmatocycas","417982","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Phasmatocycas","sp.",NA,295.5,272.3,"773","150","148",NA,NA,NA,NA,NA
"1:7","133231","occ","11145","Taeniopteris sp.","5","56180","Taeniopteris","5","56180","Sakmarian","Kungurian","295.5","272.3","4100;4100","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","sp.",NA,295.5,272.3,"773","150","148",NA,NA,NA,NA,NA
"1:8","133235","occ","11146","Cycadospadix sp.","5","405634","Cycadospadix","5","405634","Sakmarian","Kungurian","295.5","272.3","4100;4100","Cycadospadix","405634","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Cycadospadix","sp.",NA,295.5,272.3,"773","150","148","Cycadaceae","54571",NA,NA,NA
"1:9","133237","occ","11146","Taeniopteris sp.","5","56180","Taeniopteris","5","56180","Sakmarian","Kungurian","295.5","272.3","4100;4100","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","sp.",NA,295.5,272.3,"773","150","148",NA,NA,NA,NA,NA
"1:10","133248","occ","11147","Taeniopteris multinervis","3","56180","Taeniopteris","5","56180","Asselian","Kungurian","298.9","272.3","4102;4102","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","multinervis",NA,298.9,272.3,"773","773","773",NA,NA,NA,NA,NA
"1:11","133249","occ","11147","Taeniopteris sp.","5","56180","Taeniopteris","5","56180","Asselian","Kungurian","298.9","272.3","4102;4102","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","sp.",NA,298.9,272.3,"773","773","773",NA,NA,NA,NA,NA
